,Reference,Title En Origin Body,Publication D.
0,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
1,I.S. EN 149:2001+A1:2009,13/07/2009(under specified conditions)CEN,
2,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
3,I.S. EN IEC 60076-22-2:2019,19/07/2019(under specified conditions)CENELEC,
4,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
5,I.S. EN IEC 60079-7:2015/A1:2018,06/02/2018(under specified conditions)CENELEC,
6,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
7,I.S. EN IEC 60118-4:2015/A1:2018,27/02/2018(under specified conditions)CENELEC,
8,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
9,I.S. EN IEC 60893-3-6:2004/A2:2018,20/02/2018(under specified conditions)CENELEC,
10,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
11,I.S. EN IEC 62453-303-1:2009/A1:2018,20/02/2018(under specified conditions)CENELEC,
12,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
13,I.S. EN IEC 62554:2011/A1:2018,27/02/2018(under specified conditions)CENELEC,
