,Reference,Title En Origin Body,Publication D.
0,,Testing hardened concrete - Part 12: Determination of the carbonation,
1,I.S. EN 12390-12:2020,16/02/2020resistance of concrete - Accelerated carbonation methodCEN,
2,,Bio-based products - Determination of the oxygen content using an elemental,
3,I.S. EN 17351:2020,16/02/2020analyserCEN,
4,,Technical product documentation (TPD) - Technical drawings for glassware,
5,I.S. EN ISO 6414:2020,16/02/2020(ISO/FDIS 6414:2019)CEN,
6,,"Infusion equipment for medical use - Part 4: Infusion sets for single use, gravity",
7,I.S. EN ISO 8536-4:2020,16/02/2020feed (ISO/FDIS 8536-4:2019)CEN,
8,,Ophthalmic optics - Visual acuity testing - Standard and clinical optotypes and,
9,I.S. EN ISO 8596:2018/A1:2020,16/02/2020their presentation - Amendment 1 (ISO 8596:2017/Damd1:2019)CEN,
10,,Corrosion of metals and aloys - Classification of low corrosivity of indoor,
11,I.S. EN ISO 11844-3:2020,atmospheres - Part 3: Measurement of environmental parameters afecting CEN,16/02/2020
12,,indoor corrosivity (ISO/FDIS 11844-3:2019),
13,,Paints and varnishes - Determination of electrical conductivity and resistance,
14,I.S. EN ISO 15091:2020,16/02/2020(ISO/FDIS 15091:2019)CEN,
15,,Paints and varnishes - Determination of film hardness by pencil test (ISO/FDIS,
16,I.S. EN ISO 15184:2020,16/02/202015184:2019)CEN,
17,,Leather - Determination of abrasion resistance - Part 1: Taber method,
18,I.S. EN ISO 17076-1:2020,16/02/2020(ISO/FDIS 17076-1:2019)CEN,
19,,Eye and face protection - Test methods - Part 3: Physical and mechanical,
20,I.S. EN ISO 18526-3:2020,16/02/2020properties (ISO/FDIS 18526-3:2019)CEN,
21,I.S. EN ISO 22109:2020,Industrial valves - Gearbox for valves (ISO/FDIS 22109:2019) CEN,16/02/2020
22,,Plastics - Polyetheretherketone (PEEK) moulding and extrusion materials - Part,
23,I.S. EN ISO 23153-2:2020,2: Preparation of test specimens and determination of properties (ISO/DIS CEN,16/02/2020
24,,23153-2:2019),
25,S.R. CWA 17492:2020,Predictive control and maintenance of data intensive industrial processes CEN,16/02/2020
26,S.R. CWA 17494:2020,Analytics Insights and Scaling Policies for Microservices CEN,16/02/2020
