,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-03-03,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 54-22:2015+A1:2020,Fire detection and fire alarm systems - Part 22: Resetable line-type heatdetectors,CEN,15/03/2020,
2,,,,,
3,I.S. EN 1459-1:2017+A1:2020,Rough-terrain trucks - Safety requirements and verification - Part 1:Variable-reach trucks,CEN,15/03/2020,
4,I.S. EN 1502:2020,Inland navigation vessels - Boarding stairs,CEN,15/03/2020,
5,I.S. EN 3475-513:2020,"Aerospace series - Cables, electrical, aircraft use - Test methods - Part 513:Deformation resistance (Instalation with plastic cable ties)",CEN,15/03/2020,
6,I.S. EN 4244:2020,Aerospace series - Heat resisting aloy FE-PM1708 - Vacuum arc remelted â€”Hardened and tempered - Bar - a or D â‰ ¤ 200 mm - 1000 MPa â‰ ¤ Rm1140 MPa,CEN,15/03/2020,
7,I.S. EN 4245:2020,Aerospace series - Heat resisting aloy FE-PM1708 - Vacuum arc remelted - Asforged - Forging stock - De â‰ ¤ 300 mm,CEN,15/03/2020,
8,I.S. EN 4264:2020,Aerospace series - Heat resisting aloy FE-PA2501 (X4NiCrMoTi43-13) - Asforged - Forging stock - a or D â‰ ¤ 200 mm,CEN,15/03/2020,
9,I.S. EN 4426:2020,Aerospace series - Non-metalic materials - Textiles - Test method -Determination of conductivity and pH of aqueous extracts,CEN,15/03/2020,
10,I.S. EN 4533-001:2020,Aerospace series - Fibre optic systems - Handbook - Part 001: Terminationmethods and tools,CEN,15/03/2020,
11,I.S. EN 4570:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated - Forgings - De â‰ ¤ 100 mm,CEN,15/03/2020,
12,I.S. EN 12697-6:2020,Bituminous mixtures - Test methods - Part 6: Determination of bulk density ofbituminous specimens,CEN,15/03/2020,
13,I.S. EN 12697-11:2020,Bituminous mixtures - Test methods - Part 11: Determination of the afinitybetween aggregate and bitumen,CEN,15/03/2020,
14,I.S. EN 12697-19:2020,Bituminous mixtures - Test methods - Part 19: Permeability of specimen,CEN,15/03/2020,
15,I.S. EN 12697-20:2020,Bituminous mixtures - Test methods - Part 20: Indentation using cube orMarshal specimens,CEN,15/03/2020,
16,I.S. EN 12697-21:2020,Bituminous mixtures - Test methods - Part 21: Indentation using platespecimens,CEN,15/03/2020,
17,I.S. EN 12697-22:2020,Bituminous mixtures - Test methods - Part 22: Wheel tracking,CEN,15/03/2020,
18,I.S. EN 12697-28:2020,"Bituminous mixtures - Test methods - Part 28: Preparation of samples fordetermining binder content, water content and grading",CEN,15/03/2020,
19,I.S. EN 12697-34:2020,Bituminous mixtures - Test methods - Part 34: Marshal test,CEN,15/03/2020,
20,I.S. EN 12697-39:2020,Bituminous mixtures - Test methods - Part 39: Binder content by ignition,CEN,15/03/2020,
21,I.S. EN 12697-40:2020,Bituminous mixtures - Test methods - Part 40: In situ drainability,CEN,15/03/2020,
22,I.S. EN 12697-45:2020,Bituminous mixtures - Test methods - Part 45: Saturation Ageing TensileStifness (SATS) conditioning test,CEN,15/03/2020,
23,I.S. EN 12697-46:2020,Bituminous mixtures - Test methods - Part 46: Low temperature cracking andproperties by uniaxial tension tests,CEN,15/03/2020,
24,I.S. EN 13150:2020,"Workbenches for laboratories in educational institutions - Dimensions, safetyand durability requirements and test methods",CEN,15/03/2020,
25,I.S. EN 14276-1:2020,Pressure equipment for refrigerating systems and heat pumps - Part 1: VesselsGeneral requirements,CEN,15/03/2020,
26,I.S. EN 14276-2:2020,Pressure equipment for refrigerating systems and heat pumps - Part 2: PipingGeneral requirements,CEN,15/03/2020,
27,I.S. EN 15388:2020,Agglomerated stone - Slabs and cut-to-size products for vanity and kitchen top,CEN,15/03/2020,
28,I.S. EN 17092-2:2020,Protective garments for motorcycle riders - Part 2: Class AAA garments -Requirements,CEN,15/03/2020,
29,I.S. EN 17092-3:2020,Protective garments for motorcycle riders - Part 3: Class AA garments -Requirements,CEN,15/03/2020,
30,I.S. EN 17092-4:2020,Protective garments for motorcycle riders - Part 4: Class A garments -Requirements,CEN,15/03/2020,
31,I.S. EN 17092-5:2020,Protective garments for motorcycle riders - Part 5: Class B garments -Requirements,CEN,15/03/2020,
32,I.S. EN 17092-6:2020,Protective garments for motorcycle riders - Part 6: Class C garments -Requirements,CEN,15/03/2020,
33,I.S. EN 17317:2020,"Resilient, textile, laminate and modular mechanical locked floor coverings - Ligreflectance value (LRV) of a flooring surface",CEN,15/03/2020,
34,I.S. EN 17360:2020,Inland navigation vessels - Stanchions and holders for tiltable and detachablerailings,CEN,15/03/2020,
35,I.S. EN 17361:2020Inland navigation vessels - Outboard laddersCEN15/03/2020Number of Records found :51,,,,
